state,year,so2,no2,rspm,spm,pm2_5
Chhattisgarh,2008.0,15.903116147308783,27.42804532577904,127.5099715099715,253.43454038997214,
Chhattisgarh,2009.0,14.806976744186047,26.3744557329463,131.34834834834834,261.992927864215,
Chhattisgarh,2010.0,11.726207906295754,25.567448680351905,148.58587479935795,,
Chhattisgarh,2011.0,11.282352941161388,24.572292609351432,137.89564685314684,,
Chhattisgarh,2012.0,10.31768953068592,21.674545454545456,98.16985138004246,,
Chhattisgarh,2013.0,10.292604501607718,22.624398073836275,118.06851851851852,,
Chhattisgarh,2014.0,10.162790697674419,22.608540925266905,116.1321138211382,,
Chhattisgarh,2015.0,9.80952380952381,22.86837294332724,111.52219873150106,,
Dadra & Nagar Haveli,1992.0,5.114285714285714,6.357142857142857,,83.57142857142857,
Dadra & Nagar Haveli,1993.0,5.4,7.0200000000000005,,96.0,
Dadra & Nagar Haveli,1994.0,5.372727272727273,7.354545454545455,,100.58333333333333,
Dadra & Nagar Haveli,1995.0,5.3999999999999995,7.6000000000000005,,107.33333333333333,
Dadra & Nagar Haveli,2007.0,10.641176470588235,18.88823529411765,89.11764705882354,208.52941176470588,
Dadra & Nagar Haveli,2008.0,9.852884615384616,17.32451923076923,93.34134615384616,191.0721153846154,
Dadra & Nagar Haveli,2009.0,8.589855072463768,17.318840579710145,71.23188405797102,312.94202898550725,
Dadra & Nagar Haveli,2010.0,7.138297872340425,17.617021276595743,39.340425531914896,,
Dadra & Nagar Haveli,2011.0,7.592783505154639,19.354639175257734,23.857142857142858,42.381443298969074,
Dadra & Nagar Haveli,2012.0,7.618666666666666,20.18133333333333,,,
Dadra & Nagar Haveli,2015.0,15.883720930232558,26.906976744186046,88.67441860465117,,30.511627906976745
Daman & Diu,1989.0,6.3625,7.82,,89.6,
Daman & Diu,1990.0,4.147222222222222,4.441666666666666,,95.69444444444444,
Daman & Diu,1991.0,4.042424242424243,5.2696969696969695,,92.06060606060606,
Daman & Diu,1992.0,8.5,7.834482758620689,,105.34482758620689,
Daman & Diu,1993.0,8.01923076923077,8.376923076923077,,98.4,
Daman & Diu,1994.0,4.428571428571429,5.9,,105.0,
Daman & Diu,1995.0,3.8000000000000003,4.1000000000000005,,97.33333333333333,
Daman & Diu,2007.0,12.3,18.43125,92.5625,216.75,
Daman & Diu,2008.0,9.779126213592233,17.071844660194177,96.02912621359224,211.44174757281553,
Daman & Diu,2009.0,7.273134328358209,18.83731343283582,57.11940298507463,222.6417910447761,
Daman & Diu,2010.0,7.177083333333333,17.65625,35.322916666666664,,
Daman & Diu,2011.0,7.490990990990991,19.611711711711713,24.0,39.351351351351354,
Daman & Diu,2012.0,7.628947368421052,20.147368421052633,,,
Daman & Diu,2015.0,14.454545454545455,24.954545454545453,83.06818181818181,,27.886363636363637
Delhi,1987.0,15.991304347826087,18.7,,548.875,
Delhi,1988.0,11.990909090909092,21.599999999999998,,277.6666666666667,
Delhi,1990.0,15.083673469387756,28.020408163265305,,368.1326530612245,
Delhi,1991.0,19.723809523809525,33.396190476190476,,391.4326923076923,
Delhi,1992.0,20.52777777777778,31.544444444444448,,406.9622641509434,
Delhi,1993.0,18.67263157894737,32.177894736842106,,,
Delhi,1994.0,24.86,41.22352941176471,,435.77647058823527,
Delhi,1995.0,23.11759259259259,47.0,,406.5576923076923,
Delhi,1996.0,17.757692307692306,40.026923076923076,,397.67619047619047,
Delhi,1997.0,16.437037037037037,34.016666666666666,,343.52777777777777,
Delhi,1998.0,15.628571428571428,33.74190476190476,,378.16190476190474,
Delhi,1999.0,17.33425925925926,35.78333333333333,,363.55555555555554,
Delhi,2000.0,15.089814814814815,39.93796296296296,,375.8,
Delhi,2001.0,12.912121212121212,39.01414141414141,,363.87628865979383,
